Month,Average Retail Price 2018,Average Retail Price 2019,Average Retail Price 2020
Annual Average,5.74,6.07,6.73
January,5.77,5.77,6.7
February,5.69,5.82,6.69
March,5.73,5.83,6.75
April,5.68,5.8,6.9
May,5.64,5.75,6.79
June,5.66,5.75,.6.70
July,5.71,5.88,6.68
August,5.76,6.14,6.78
September,5.78,6.44,6.72
October,5.82,6.51,6.71
November,5.83,6.59,6.67
December,5.84,6.63,6.72
