Current Price,Value Production 2018,Value Production 2019,Value Production 2020
Anual ,"53,356","63,532","74,156"
January-March,"13,659","14,548","18,117"
April-June,"12,675","14,377","17,861"
July-September,"13,240","16,045","19,156"
October-December,"13,782","18,562","19,022"
