Item,Volume of Production 2018,Volume of Production 2019,Volume of Production 2020
Annual,"533,905","583,234","605,786"
January-March,"130,549","142,011","148,171"
April-June,"131,095","141,451","148,453"
July-September,"133,717","145,544","154,295"
October-December,"138,544","154,228","154,867"
