Month,Value Production 2018,Value Production 2019,Value Production 2020
Anual Average,4.48,5.04,5.64
January,4.69,4.72,5.66
February,4.63,4.63,5.64
March,4.44,4.59,5.67
April,4.37,4.65,5.63
May,4.34,4.54,5.45
June,4.32,4.77,5.62
July,4.41,4.85,5.78
August,4.45,5.18,5.72
September,4.44,5.46,5.61
October,4.51,5.63,5.62
November,4.52,5.64,5.6
December,4.64,5.76,5.64
