Item ,Volume of Production (in metric tons),,,,Growth Rate(in percent),
,2018,2019,2020,,2019,2020P
Annual,"533,905","583,234","605,786",,9,4
January-March,"130,549","142,011","148,171",,9,4
April-June,"131,095","141,451","148,453",,8,5
July-September,"133,717","145,544","154,295",,9,6
October-December,"138,544","154,228","154,867",,11,0
